manufacturer,source_scope,pack_count,family_count,series_count,product_line_count,device_variant_count,orderable_part_count,last_observed,device_coverage_status,orderable_coverage_status,notes
Allwinner,combined_vendor_packs,5,1,1,5,8,8,2026-09-05T03:28:39+00:00,official_product_page_and_datasheet_snapshot,official_exact_model_scope,Standalone XRadio wireless MCU datasheets only. Allwinner A/T/MR/V/R128 SoCs and XR connectivity chips are intentionally excluded from the MCU directory; wildcard suffixes and unknown fields are not inferred.
Artery,combined_vendor_packs,26,1,5,26,222,222,2026-09-05T03:28:39+00:00,official_cmsis_pack_scope_snapshot,partial_official_sources,Exact device macro snapshot for the listed public Artery CMSIS drivers; representative rows are explicitly limited to one published product-page model where a driver repository is unavailable. This is not a claim about every unpublished or discontinued orderable code.
Espressif,combined_vendor_packs,3,1,16,99,319,319,2026-09-05T03:28:39+00:00,official_product_selector_api_snapshot,official_selector_api_scope,All records returned by both official API scopes at observation time; not a claim about unpublished products.
Geehy,combined_vendor_packs,10,4,9,28,153,0,2026-09-05T03:28:39+00:00,indexed_from_available_cmsis_packs,not_imported,Availability in this snapshot is not a claim of full manufacturer catalog completion.
GigaDevice,combined_vendor_packs,12,1,12,33,388,0,2026-09-05T03:28:39+00:00,official_cmsis_pack_scope_snapshot,not_imported,"All successfully parsed records from the selected official CMSIS-Pack scope at observation time; not a claim about unpublished products, non-Arm families, or orderable-code completeness."
HPMicro,combined_vendor_packs,27,2,9,41,74,39,2026-09-05T03:28:39+00:00,official_product_selector_page_snapshot,partial_official_sources,"Snapshot of every exact MCU row discoverable in the current official HPMicro sitemap selection tables plus exact official purchase-card strings. It is not a claim about unreleased, archived, or distributor-only parts."
Infineon,combined_vendor_packs,22,60,79,164,1734,1487,2026-09-05T03:28:39+00:00,indexed_from_available_cmsis_packs,partial_official_sources,Availability in this snapshot is not a claim of full manufacturer catalog completion.
MicroPy MCU,combined_vendor_packs,11,2,2,6,9,9,2026-09-05T03:28:39+00:00,official_cmsis_pack_scope_snapshot,partial_official_sources,"MicroPython MCU ecosystem scope: Raspberry Pi RP2040/RP2350 and stacked-flash RP2354 variants, Kendryte K210, and CanMV K230/K230D. K510 is included as a requested ecosystem candidate, but its public official sources do not verify a MicroPython port; unknown chip-level fields remain blank and board memory is not attributed to the silicon."
Microchip,combined_vendor_packs,94,45,45,60,767,2318,2026-09-05T03:28:39+00:00,official_cmsis_pack_scope_snapshot,partial_official_sources,"All successfully parsed records from the selected official CMSIS-Pack scope at observation time; not a claim about unpublished products, non-Arm families, or orderable-code completeness."
MindMotion,combined_vendor_packs,19,18,18,44,157,0,2026-09-05T03:28:39+00:00,indexed_from_available_cmsis_packs,not_imported,Availability in this snapshot is not a claim of full manufacturer catalog completion.
Nuvoton,combined_vendor_packs,17,11,11,111,1058,0,2026-09-05T03:28:39+00:00,indexed_from_available_cmsis_packs,not_imported,Availability in this snapshot is not a claim of full manufacturer catalog completion.
Puya,combined_vendor_packs,12,6,6,41,87,0,2026-09-05T03:28:39+00:00,indexed_from_available_cmsis_packs,not_imported,Availability in this snapshot is not a claim of full manufacturer catalog completion.
Qinheng,combined_vendor_packs,24,2,35,35,90,97,2026-09-05T03:28:39+00:00,official_cmsis_pack_scope_snapshot,partial_official_sources,Exact records present in the selected WCH/openwch structured snapshot; not a claim about every unreleased or unpublished WCH part.
Renesas,combined_vendor_packs,148,6,33,147,5461,15607,2026-09-05T03:28:39+00:00,official_product_selector_api_snapshot,official_selector_api_scope,All exact base parts and orderable codes returned by the selected official MCU selector scopes at observation time. RZ MPUs are excluded; unpublished parts and historical parts omitted by Renesas are not claimed.
STC,combined_vendor_packs,4,1,2,9,9,9,2026-09-05T03:28:39+00:00,official_cmsis_pack_scope_snapshot,partial_official_sources,Exact STC32 model names and capabilities published by STC Micro product pages; no suffix expansion and no claim for models without an official public specification table.
STMicroelectronics,combined_vendor_packs,28,1,27,231,2778,303,2026-09-05T03:28:39+00:00,official_cmsis_pack_scope_snapshot,partial_official_sources,"All successfully parsed records from the selected official CMSIS-Pack scope at observation time; not a claim about unpublished products, non-Arm families, or orderable-code completeness."
Texas Instruments,combined_vendor_packs,27,7,27,38,75,0,2026-09-05T03:28:39+00:00,official_cmsis_pack_scope_snapshot,not_imported,"All successfully parsed records from the selected official CMSIS-Pack scope at observation time; not a claim about unpublished products, non-Arm families, or orderable-code completeness."
